,long,lat,DRNAREA,ELEV,PRECIP,ELEVMAX,MINBELEV,FOREST
mean,0.444927893832354,0.887757840310733,0.5999701212943369,0.4744283032401742,0.5651370781564632,0.36445866046958947,0.596688533648953,0.5211840486784219
std,0.29530427547149685,0.13489155968529057,0.19374108498684273,0.39434390618431975,0.22742055524425622,0.2650029201060281,0.38871685034349046,0.26818511440719733
min,0.1307297720478951,0.6341055014813674,0.3863936320272229,0.07242929398430305,0.2565680178598482,0.1297675323892429,0.1424835161779374,0.2147346322454226
max,0.9071579830025492,1.0,0.8852977398652383,1.0,0.8098246605207847,0.8100951622475346,1.0,0.9266300578491418
