,Discharge,InundationExtent,AirTemp,PotentialET,ActualET
AminoSugar,50.86082171858365,46.54532413890737,4.47088924829739,2.1254305371221003,2.4413489032630684
Carb,13.156857895396696,15.179483573978374,0.04563214771406259,0.015509746770042535,0.012595961032656443
ConcHC,185.4309054691554,165.84170841994776,54.601595237052976,16.22553649467902,66.80385690223287
Lignin,1115.0092668902591,1079.1330678995234,580.0644316781235,389.0632084778186,620.9318928690811
Lipid,30.240821347513336,28.725966656124694,4.24718462365507,2.062207453060946,1.218838104149062
Other,6.288613346508451,5.423717240355574,6.74949657171955,12.728306479905587,1.7754567837803064
Protein,181.89684254343013,172.14794205000297,29.751117692209313,16.351585111824544,16.293287607168303
Tannin,267.4667783534152,232.34739754924738,163.24397740173515,75.57978070456564,158.65961545389072
UnsatHC,8.544734364929779,8.510532922193683,14.883979313999292,1.504187209747528,4.545987382092048
SumAllCompounds,1859.4738755632554,1749.6264235180277,750.8425855007813,405.5425899427349,725.9549176668799
