,Sample,AminoSugar,Carb,ConcHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC,SumAllCompounds
55,S19S_0070_Wat,3.401197382,1.386294361,5.420534999,6.953684211,3.17805383,1.386294361,4.990432587,5.733341277,2.302585093,34.7524181
56,S19S_0071_Wat,3.091042453,1.098612289,4.691347882,6.906754779,2.772588722,1.098612289,4.727387819,5.420534999,2.302585093,32.10946633
57,S19S_0072_Wat,3.931825633,1.945910149,5.105945474,7.065613364,3.135494216,1.609437912,5.153291594,5.624017506,1.791759469,35.36329532
58,S19S_0073_Wat,4.343805422,3.135494216,5.82008293,7.177018766,3.496507561,1.791759469,5.433722004,6.013715156,2.079441542,39.29154707
62,S19S_0077_Wat,3.688879454,1.609437912,5.141663557,6.776506992,2.63905733,0.693147181,4.753590191,5.605802066,1.609437912,32.5175226
63,S19S_0078_Wat,4.17438727,2.302585093,5.552959585,7.051855623,4.060443011,2.48490665,5.493061443,5.902633333,2.397895273,39.42072728
64,S19S_0079_Wat,4.521788577,3.401197382,5.283203729,7.070724107,3.970291914,2.302585093,5.627621114,5.743003188,1.791759469,39.71217457
65,S19S_0081_Wat,4.343805422,3.044522438,5.327876169,7.206377291,3.951243719,1.945910149,5.648974238,5.683579767,2.397895273,39.55018447
66,S19S_0082_Wat,4.465908119,3.044522438,5.402677382,7.07834158,3.526360525,1.609437912,5.420534999,5.720311777,1.791759469,38.0598542
67,S19S_0083_Wat,4.418840608,3.63758616,5.537334267,7.224024808,3.737669618,1.609437912,5.676753802,5.676753802,1.791759469,39.31016045
68,S19S_0084_Wat,3.17805383,1.098612289,5.141663557,6.962243464,3.044522438,1.945910149,4.672828834,5.713732806,1.609437912,33.36700528
69,S19S_0085_Wat,2.708050201,0.0,4.17438727,6.453624999,2.302585093,0.0,4.110873864,5.093750201,0.0,24.84327163
70,S19S_0087_Wat,3.871201011,1.791759469,5.777652323,7.149916836,3.401197382,1.791759469,5.153291594,5.834810737,2.564949357,37.33653818
71,S19S_0089_Wat,4.795790546,3.912023005,5.676753802,7.183870715,4.356708827,1.609437912,6.02827852,5.438079309,1.945910149,40.94685279
75,S19S_0097_Wat,4.007333185,1.609437912,4.859812404,7.100851909,3.80666249,2.079441542,5.342334252,5.272999559,1.791759469,35.87063272
76,S19S_0098_Wat,3.931825633,1.791759469,4.17438727,6.998509642,3.555348061,2.63905733,5.257495372,5.036952602,2.772588722,36.1579241
77,S19S_0099_Wat,4.564348191,3.555348061,4.744932128,7.167809184,4.262679877,2.397895273,5.723585102,5.459585514,1.609437912,39.48562124
