,PctNonCarbResidWs,PctUrbMdWs,DamNrmStorM3Ws,DRNAREA,DamNIDStorM3Ws,PctImpWs,NABD_NrmStorM3Ws,NABD_NIDStorM3Ws,PctFrstLossWs,PctUrbHiWs,PctUrbLoWs,TmaxWs,PctNonAgIntrodManagVegWs,TmeanWs,MineDensWs,NABD_DensWs,NPDESDensWs,PctOwWs,PctUrbOpWs,DamDensWs,SuperfundDensWs,TRIDensWs
mean,0.39030808719158916,0.7111329641532963,0.29266647108047744,0.4718087205691561,0.3012569315594957,0.7926620363987552,0.2669386484344795,0.26951826260392225,0.75295914957608,0.6043782355838537,0.6771384295866767,0.4843066967763507,0.7081906113202182,0.5046324666042227,0.37462726097770843,0.33920878680754396,0.8426637314191502,0.46539365034634494,0.5954987655138527,0.43638813408307575,0.5167817820136992,0.8661883521546224
std,0.11229131543595468,0.21598254027801234,0.22085018630431158,0.14922963345322882,0.22113557423249985,0.20146500709635445,0.23106139281516194,0.2353100039409647,0.19105750021993673,0.23696092717267955,0.21906472570999347,0.11204890785401006,0.06744009062366511,0.1536521741822715,0.23985156576554154,0.27503766917248357,0.1425558584264462,0.1905752638832392,0.19056232618396843,0.30085023391574744,0.2669095757138276,0.1538733719641209
min,0.20021459506897607,0.2958375528783638,0.02935370026628913,0.18619927352320498,0.029794530812285135,0.3906573946377409,0.011635270477994878,0.015297465203279811,0.47715578931037284,0.23995123686294273,0.4217709260201118,0.36387591908169914,0.6280687604047008,0.3217157649830714,0.06959598698733832,0.03380119458338559,0.5526102542857687,0.2395993410685956,0.3338678069971993,0.044383095677865816,0.143086577052283,0.5881147762375658
max,0.5836013347646145,0.9573530513799409,0.5856903463515593,0.6630327899516505,0.6036044524401349,0.9694540780991255,0.5503459538454755,0.5843177449779112,1.0,0.8708973313836895,1.0,0.6780881653505636,0.8319646258508173,0.7508771749636094,0.6758018846323702,0.6980049096994067,0.9765883847006768,0.7234049147396786,0.877566674997116,0.7937912642125775,0.876707338146226,1.0
