,Latitude,AcutalET,SWT,MSST,AirTemp,PotentialET,WMT,WCH,WI,NaturalDischarge,DrainageArea
Amino Sugar,1198.63271732718,2.44134890326306,6.28380656034021,2.31259477483447,4.47088924829739,2.1254305371221,27.2968325406562,29.649666285015,62.7074589081232,50.8608217185836,48.378595750818
Carb,28285.4654647347,0.0125959610326564,0.320718062275013,0.0186223740571887,0.0456321477140625,0.0155097467700425,2.45496029847666,5.63150092508247,17.5671951674211,13.1568578953966,12.141931628629
ConcHC,19317.4591571919,66.8038569022328,63.7648384140302,48.7134359101846,54.6015952370529,16.225536494679,128.481925301341,130.122476956107,199.960705420467,185.430905469155,181.151365294505
Lignin,5438.90236313597,620.931892869081,638.756075207216,434.940268687485,580.064431678123,389.063208477818,949.611404439697,928.484101536992,1169.18029700842,1115.00926689025,1083.43666298064
Lipid,689.170141953948,1.21883810414906,5.12873859208972,2.20455025950167,4.24718462365507,2.06220745306094,14.9160162221202,19.9410299454442,36.714570304269,30.2408213475133,29.4715076964418
Other,3.07179176243495,1.7754567837803,9.59546531238475,10.234347792701,6.74949657171955,12.7283064799055,4.77924307186638,6.66103168016026,4.4669078832759,6.28861334650845,6.58995795762208
Protein,2448.7491944401,16.2932876071683,40.6793400326539,16.4142463692315,29.7511176922093,16.3515851118245,109.259455478992,117.393768667027,215.180579108706,181.89684254343,175.892278857979
Tanin,3422.9545534642,158.65961545389,144.950442687969,149.619230774653,163.243977401735,75.5797807045656,232.872477460496,201.808712225117,121.549621767905,267.466778353415,259.745433349651
UnsatHC,16487.513419484,4.54598738209204,12.1399984692497,11.4715558919219,14.8839793139992,1.50418720974752,5.97748518071373,8.35162857405842,4.26279348956247,8.54473436492977,8.4247760708686
SumAllCompounds,18207.2379549059,725.954917666879,834.810908593319,559.458450988134,750.842585500781,405.542589942734,1450.50509732728,1435.62696368641,2001.82626844029,1859.47387556325,1804.03267030626
