,Compound_Name,EPA-ACC_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
300,AminoSugar,PctFrstLoss2002Cat,0.09069256954827701,0.09069256954827701,0.5142699142570415,0.5142699142570415
301,Carb,PctFrstLoss2002Cat,0.07660174980879361,0.07660174980879361,0.5819461406582513,0.5819461406582513
302,ConcHC,PctFrstLoss2002Cat,0.049488713965105534,0.049488713965105534,0.7223088251900899,0.7223088251900899
303,Lignin,PctFrstLoss2002Cat,0.034969078194833976,0.034969078194833976,0.8017884773375321,0.8017884773375321
304,Lipid,PctFrstLoss2002Cat,0.23091363195530373,0.23091363195530373,0.09296791249667313,0.09296791249667313
305,Other,PctFrstLoss2002Cat,0.2778438498098586,0.2778438498098586,0.04193168369552916,0.04193168369552916
306,Protein,PctFrstLoss2002Cat,0.09896664008124251,0.09896664008124251,0.4764727087103592,0.4764727087103592
307,Tannin,PctFrstLoss2002Cat,0.09889019941136612,0.09889019941136612,0.4768149999783694,0.4768149999783694
308,UnsatHC,PctFrstLoss2002Cat,0.15057272737575336,0.15057272737575336,0.27712550209665987,0.27712550209665987
309,SumAllCompounds,PctFrstLoss2002Cat,0.08521811893362823,0.08521811893362823,0.5400839952373595,0.5400839952373595
310,AminoSugar,PctFrstLoss2003Cat,0.04457574929604327,0.04457574929604327,0.7489243215088994,0.7489243215088994
311,Carb,PctFrstLoss2003Cat,-0.05236281021331527,-0.05236281021331527,0.706886344407768,0.706886344407768
312,ConcHC,PctFrstLoss2003Cat,0.11647933588499204,0.11647933588499204,0.40159437337196074,0.40159437337196074
313,Lignin,PctFrstLoss2003Cat,0.03014300328161145,0.03014300328161145,0.82869850664426,0.82869850664426
314,Lipid,PctFrstLoss2003Cat,0.1955841448426887,0.1955841448426887,0.15638226612566877,0.15638226612566877
