,DRNAREA,DamDensWs,DamNIDStorM3Ws,DamNrmStorM3Ws,NPDESDensWs,SuperfundDensWs,TRIDensWs,PctFrstLoss2003Ws,PctFrstLoss2009Ws,PctImp2006Ws,PctNonCarbResidWs,MineDensWs,NABD_DensWs,NABD_NIDStorM3Ws,NABD_NrmStorM3Ws,PctOw2006Ws,PctUrbHi2006Ws,PctUrbHi2011Ws,PctUrbLo2011Ws,PctUrbMd2011Ws,PctUrbOp2011Ws,PctNonAgIntrodManagVegWs,Tmax8110Ws,Tmean8110Ws
AminoSugar,45.02300552604164,8.391408306691858,71.61426120452673,70.8591869705889,9.107566214597117,12.725814503135842,6.400803014574671,21.11234684778239,43.147756212162186,62.70745890812321,45.125177278652345,16.149346797976925,9.155713227386265,32.445752704293504,49.97046347838538,42.81736238488212,41.2180517512733,43.21237350729757,63.51709338455979,72.25055212416788,47.71928237112119,39.609096203751896,14.267693285112617,27.296832540656233
Carb,11.096961598071225,29.137305818059644,21.115228218849218,20.6250362392526,9.986753988951873,14.423863008780533,15.72097517871996,6.643917449803241,6.342269719524024,17.567195167421183,14.707278773931396,96.31828166957955,7.602016597592966,3.3500284127494506,8.660193601690043,23.983392823184207,32.22941261220359,31.40637347006247,18.282161885372698,23.547644888749808,9.820536192011051,4.938949655280326,0.6904688155121349,2.4549602984766605
ConcHC,180.08338466385538,7.221491177956882,177.3269458862574,168.21766702407368,7.000141942659986,10.92039960595967,6.201682790398016,228.0740749686333,87.80019259263925,199.96070542046758,113.9313507658262,17.67093232992142,8.06773015066146,160.5450595642345,156.784405489969,113.02638388667263,69.99487189180583,98.65027873654667,205.20664476819465,212.9866369253663,178.58758728447492,179.24994445643424,66.01753588713973,128.48192530134136
Lignin,1070.5964503512241,8.294595108457557,1213.670861362916,1210.8221580228706,8.11209594664606,11.822686181632468,6.115261814960271,32.780514386316,501.8580371219429,1169.1802970084273,971.7720320900731,18.75018386880201,9.055007764560928,901.0091059726287,1016.0219229740877,470.4611909733271,368.7515502135122,1296.6548167920569,1165.5975155404556,1223.3495184335552,1088.5219101623186,1062.5716151512481,734.7288816411649,949.6114044396978
Lipid,28.03968973934091,8.23786989173944,40.855113769824065,40.073670072917025,9.183832768109555,12.84740956170707,15.243943264075257,41.45542246587543,29.372753805958958,36.714570304269095,24.743429676879085,19.27367634667467,8.882950816713764,22.531512280850215,39.65089698026204,41.46829559364462,51.882121438384466,50.890417477038945,35.18502925839038,41.135628657376245,26.017439482185022,23.310410884213592,7.911283908525225,14.916016222120241
Other,6.7635840249749934,8.456240934008536,6.1025078366008,6.004785310438352,9.376017774439063,14.671155226419035,8.384379549090077,6.7287582474084955,7.124820135525532,4.466907883275906,5.33008439966331,17.985034448896023,4.619374600883476,1.9181062398611717,3.817438853225944,4.999890376170221,3.510318705439732,7.084467964798395,5.936968037834631,6.238795888885343,5.771649181647523,6.000781563283431,4.601739450065357,4.779243071866383
Protein,169.3854360169993,7.329301559466491,234.8069830521431,232.39709913224445,8.308238468327348,11.459424377742172,5.42848200720036,38.23132961200397,122.81107822207063,215.18057910870638,154.30168001573503,18.39116353080463,8.120112232413216,136.71650525512416,194.68569958285283,115.65843073544195,110.25735137652056,282.45236731254784,212.26790981216442,240.3361838084072,168.67024578415874,143.59218336365132,64.70186932276843,109.25945547899204
Tannin,252.49390639458628,7.70996972406724,256.3074342796328,255.0728629363906,6.116838123855298,10.85990298458921,5.017890823509838,327.31860088799283,155.13337367626792,121.54962176790502,208.5102500461438,17.94388883311722,8.459696660412682,200.61015366871234,210.2588396440432,144.91215156899042,93.98776407322798,120.16921156788008,284.2858957942474,123.77250057199801,259.2105807861852,274.10784032966194,160.0652272682405,232.87247746049692
UnsatHC,8.328825613748561,25.526878842467774,4.802885807266753,4.860901118686287,7.151562533703133,15.617169753993378,11.518217385096985,10.758792999022692,11.510805943573274,4.262793489562472,3.425043381774889,14.729704492854642,19.172144833140422,5.049774039028194,5.119100295071409,9.657825445957926,3.044806883458022,3.0834087684615694,7.725738202372894,4.552107786076287,8.071278547034089,7.723296850829326,2.8588292177145016,5.977485180713736
SumAllCompounds,1768.806952293254,8.459329943925875,2124.2849159020684,2117.997620612678,8.188599958665028,12.029162882036369,6.2500485006164626,1380.593398120487,671.8180159023191,2001.8262684402919,1542.6698420738255,18.882453772422483,9.212839269949747,1443.9416895924535,1676.8224337406539,759.5317696834579,964.2397655606004,1018.1510877475476,2002.6159055735463,2124.679135423379,1796.7975812427328,1761.5073971997015,988.5844688358471,1450.505097327282
