,Compound_Name,EPA-ACW_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
33,Lignin,PctAg2006Slp10Ws,0.16862744568880192,0.16862744568880192,0.22287828563339152,0.22287828563339152
34,Lipid,PctAg2006Slp10Ws,0.2250642244173135,0.2250642244173135,0.10178791209504337,0.10178791209504337
35,Other,PctAg2006Slp10Ws,0.16057874962991714,0.16057874962991714,0.24607197046740273,0.24607197046740273
36,Protein,PctAg2006Slp10Ws,0.2438656938333186,0.2438656938333186,0.07556098515348417,0.07556098515348417
37,Tannin,PctAg2006Slp10Ws,-0.06548839265518012,-0.06548839265518012,0.6380088365819714,0.6380088365819714
38,UnsatHC,PctAg2006Slp10Ws,-0.17679623112471982,-0.17679623112471982,0.20093791432440444,0.20093791432440444
39,SumAllCompounds,PctAg2006Slp10Ws,0.12510783214194368,0.12510783214194368,0.3673821445522468,0.3673821445522468
40,AminoSugar,PctAg2006Slp20Ws,0.22843033704697271,0.22843033704697271,0.09663664750041133,0.09663664750041133
41,Carb,PctAg2006Slp20Ws,0.2521208400576752,0.2521208400576752,0.06588781391056885,0.06588781391056885
42,ConcHC,PctAg2006Slp20Ws,-0.007663612406880975,-0.007663612406880975,0.9561393641883322,0.9561393641883322
43,Lignin,PctAg2006Slp20Ws,0.20946607704476747,0.20946607704476747,0.1284713304781147,0.1284713304781147
44,Lipid,PctAg2006Slp20Ws,0.24372926875325357,0.24372926875325357,0.07572981257040387,0.07572981257040387
45,Other,PctAg2006Slp20Ws,0.18777402978150617,0.18777402978150617,0.1739266148963401,0.1739266148963401
46,Protein,PctAg2006Slp20Ws,0.24269662139861012,0.24269662139861012,0.07701743481857976,0.07701743481857976
47,Tannin,PctAg2006Slp20Ws,0.060588936322995,0.060588936322995,0.6634040831302372,0.6634040831302372
48,UnsatHC,PctAg2006Slp20Ws,-0.1489558803663501,-0.1489558803663501,0.282376320145292,0.282376320145292
49,SumAllCompounds,PctAg2006Slp20Ws,0.186894065045641,0.186894065045641,0.1759893543786557,0.1759893543786557
50,AminoSugar,CBNFWs,0.18436646798465153,0.18436646798465153,0.18201271082251635,0.18201271082251635
51,Carb,CBNFWs,0.22676078649689316,0.22676078649689316,0.09916570993049216,0.09916570993049216
52,ConcHC,CBNFWs,-0.1414307908372361,-0.1414307908372361,0.307671345792667,0.307671345792667
53,Lignin,CBNFWs,0.1706097121639839,0.1706097121639839,0.21740731305812003,0.21740731305812003
