,Compound_Name,HYDROSHEDS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
35,Other,DIST_SINK,0.062992794596774,0.062992794596774,0.6508950273616847,0.6508950273616847
36,Protein,DIST_SINK,0.24215953518905384,0.24215953518905384,0.07769394860305939,0.07769394860305939
37,Tannin,DIST_SINK,0.24438638016067318,0.24438638016067318,0.07491936981785352,0.07491936981785352
38,UnsatHC,DIST_SINK,0.2463807532392545,0.2463807532392545,0.07250166658027643,0.07250166658027643
39,SumAllCompounds,DIST_SINK,0.2887176993324916,0.2887176993324916,0.03423371067561441,0.03423371067561441
40,AminoSugar,DIST_MAIN,-0.2570555128586334,-0.2570555128586334,0.06059600970827955,0.06059600970827955
41,Carb,DIST_MAIN,-0.23216393119555742,-0.23216393119555742,0.09116231213864052,0.09116231213864052
42,ConcHC,DIST_MAIN,-0.1525322265490824,-0.1525322265490824,0.27084900333625045,0.27084900333625045
43,Lignin,DIST_MAIN,-0.21942139114171968,-0.21942139114171968,0.11089615395618657,0.11089615395618657
44,Lipid,DIST_MAIN,-0.15323233913772316,-0.15323233913772316,0.26862958017573285,0.26862958017573285
45,Other,DIST_MAIN,0.1612923961012912,0.1612923961012912,0.24395154572949215,0.24395154572949215
